                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.36151,                0.72584,                0.83053,                0.90385,                 0.8412,                 0.9325,                 0.8648,                0.40679,                0.70594,                0.81278,               0.001387,               0.001387,               0.001387
                     89,                0.36775,                0.71272,                0.79611,                0.91621,                0.83547,                 0.9325,                 0.8709,                0.40221,                0.69165,                0.81132,               0.001288,               0.001288,               0.001288
                     90,                 0.3497,                 0.6732,                0.80437,                0.92779,                 0.8433,                0.94639,                0.87455,                0.40263,                0.66167,                0.81059,               0.001189,               0.001189,               0.001189
                     91,                0.33654,                0.69294,                0.81584,                0.95182,                0.85933,                0.93528,                 0.8638,                0.40709,                0.66097,                0.81011,                0.00109,                0.00109,                0.00109
                     92,                0.39976,                0.87167,                0.82417,                0.95624,                0.85924,                0.93528,                0.86478,                0.39974,                0.65322,                0.80884,               0.000991,               0.000991,               0.000991
                     93,                0.36719,                0.70489,                0.83455,                0.95619,                0.86115,                0.93528,                0.86035,                0.39773,                0.64515,                0.81014,               0.000892,               0.000892,               0.000892
                     94,                0.33703,                 0.6665,                0.81821,                0.95566,                 0.8631,                0.94222,                0.87024,                0.39435,                0.63376,                 0.8099,               0.000793,               0.000793,               0.000793
                     95,                0.34857,                0.66819,                0.84473,                0.95402,                0.86852,                0.94222,                0.87369,                 0.3927,                0.63016,                0.80878,               0.000694,               0.000694,               0.000694
                     96,                0.33294,                 0.6777,                0.82953,                0.95638,                0.87502,                0.95611,                0.88826,                0.39052,                0.62148,                0.80686,               0.000595,               0.000595,               0.000595
                     97,                0.35077,                0.76506,                0.82332,                0.95503,                0.87378,                0.95611,                0.88826,                0.38593,                0.62613,                0.80482,               0.000496,               0.000496,               0.000496
                     98,                0.32709,                0.62701,                0.80012,                0.95335,                0.87483,                0.95611,                0.88876,                0.38624,                0.62904,                0.80496,               0.000397,               0.000397,               0.000397
                     99,                0.29609,                0.72437,                0.81862,                0.95411,                0.86981,                0.93528,                0.86691,                0.38833,                0.63628,                0.80526,               0.000298,               0.000298,               0.000298
